Banglish,Bangla
3 jonke reffer korle 300 taka 500kivabe hoy,৩ জনকে রেফার করলে ৩০০ টাকা ৫০০ কীভাবে হয় 
3 mas ageu trickbdr alexa rank 86000,৩ মাস আগেও ট্রিকবিডির আলেক্সা রেঙ্ক ৮৬০০০ 
3 ta fake paypal account khulce,৩ টা ফেক পেপাল অ্যাকাউন্ট খুলছে 
3 ta post kore trainer request den,৩ টা পোস্ট করে ট্রেইনার রিকোয়েস্ট দেন
3dot menu check kore dekhen,৩ডট মেন্যু চেক করে দেখেন 
3g support korle 4g dekhan jabe,৩জি সাপোর্ট করলে ৪জি দেখান যাবে 
3gb Ram 64gb Rom niya astese s16 pro,৩জি র‍্যাম ৬৪জিবি রোম নিয়া আসতাছে এস১৬ প্র 
3month por abar 15gb hoye jabe,৩মান্থ পর আবার ১৫জিবি হয়ে যাবে 
3rd party app sara korar upay ki,৩য় পার্টি অ্যাপ ছাড়া উপায় কি 
3rd party mane bujhen vai?,৩য় পার্টি মানে বুঝেন ভাই? 
4 GB RAM ER JONNO DAM KOTO PORBE VAI?,৪ জিবি র‍্যাম এর জন্য দাম কত পড়বে ভাই? 
4 ta ba 5 tar besi hoina 7 dine,৪ টা বা ৫ টার বেশি হয় না ৭ দিনে 
4 Year Age Dekchi,৪ ইয়ার আগে দেখছি 
40k takar modde akta Costom gaming pc review dite parben,৪০কে টাকার মধ্যে একটা কাস্টোম গেমিং পিসি রিভিউ দিতে পারবেন
 nice joke vai,নাইস জোক ভাই
4Month por post korlam rki,৪মান্থ পর পোস্ট করলাম আরকি 
5 diamond 10 taka ,৫ ডায়মন্ড ১০ টাকা 
5$ gift card koto,৫$ গিফট কার্ড কতো 
5.0 all phone e hobe,৫.০ সব ফোন এ হবে 
5.0 upora verson a sapport korba?,৫.০ এর উপরের ভার্সন এ সাপোর্ট করবে? 
5.0 version hole hobe vai,৫.০ ভার্সন হলে হবে ভাই
5.0er jekono phone e,৫.০ এর যেকোনো ফোন এ 
5.1 Root Exposed Install Dile,৫.১ রুট এক্সপোসড ইনস্টল দিলে
5.1 version er root nia kew post koren,৫.১ ভার্সন এর রুট নিয়া কেউ পোস্ট করেন
50 joner to kono problem hoy nai,৫০ জনের তো কোনো প্রব্লেম হয় নাই
50 tk pelam nato,৫০ টক পেলাম নাতো
50 tk recharge korlam,৫০ টক রিচার্জ করলাম
charger deya ucit silo,চার্জার দেয়া উচিত ছিল
5min a paypal account khulbo,৫মিনিট এ পেপাল অ্যাকাউন্ট খুলব 
6.0 version er niche kew download koriyen na,৬.০ ভার্সন এর নিচে কেউ ডাউনলোড করিয়েন না 
Eta amar kache khoboi hassokor mone hocche,এটা আমার কাছে খুবই হাস্যকর মনে হচ্ছে 
60 ta apnar Pocket,৬০ টা আপনার পকেট
64gb holo phn storage,৬৪জিবি হলো ফোন স্টোরেজ
64gb koto ar 128 gb koto?,৬৪জিবি কত আর ১২৮ জিবি কত? 
7 day trial er por abar kivabe nibo,৭ ডে ট্রায়াল এর পর আবার কিভাবে নিব 
7 din por eber purchase korte bolbe nato?,৭ ডে পর আবার পারচেজ করতে বলবে নাতো? 
7 jb rating diche,৭ জেবি রেটিং দিচ্ছে
7.1 te support kore,৭.১ তে সাপোর্ট করে
7000 holy enough,৭০০০ হলে এনাফ
72 hours lagbe,৭২ আওয়ার লাগবে
1080p Quality Nai,১০৮০পি কোয়ালিটি নাই
73mb app,৭৩এমবি অ্যাপ 
77 mb jeta oita kaz kore na,৭৭ এমবি যেটা ওইটা কাজ করে না 
8 a kaj korena,৮ এ কাজ করেনা 
8 valo amar mote,৮ ভালো আমার মতে 
99g e silo tau 990 diche,৯৯জি এ ছিল তাও ৯৯০ দিছে 
99 lekha silo tahole 990 point dilo keno?,৯৯ লেখা ছিল তাহলে ৯৯০ পয়েন্ট দিলো কেনো? 
Invitation code use koren,ইনভাইটেশন কোড ইউজ করেন
A abar kono post hoilo naki?,এ আবার কোনো পোস্ট হইলো নাকি? 
acharaw title a leksen root,এছাড়াও টাইটেল এ লেখছেন রুট 
A kemon post,এ কেমন পোস্ট 
a karonei waz ar gojol er kotha ullekh korlam,এ কারনেই ওয়ায আর গজল এর কথা উল্লেখ করলাম 
A rokom post aro ase trickbd te,এ রকম পোস্ট আরো আছে ট্রিকবিডি তে
a tar owner ki aponi?,এটার অউনার কি আপোনি ? 
Apnar post ta ami dekhechi,আপনার পোস্ট টা আমি দেখেছি
disable option dekay,ডিসেবল অপশন দেখায় 
kothakar esob 3rd party app,কোথাকার এসব ৩র্ড পার্টি অ্যাপ 
A50 jonno cai,এ৫০ জন্য চাই 
Aaj ekta debo,আজ এটা দিবো.
aj haha react nei bole,আজ হাহা রিয়েক্ট নেই বলে 
Aajke off korse naki?,আজকে অফ করছে নাকি?
ami er Theke aro valo valo offer jani,আমি এর থেকে আরও ভালো ভালো অফার জানি
abal kothakar,আবাল কোথাকার 
abal,আবাল
abal Marka post,আবাল মার্কা পোস্ট 
Abal to mia apni,আবাল তো মিয়া আপনে 
Google search kore dekhen,গুগল সার্চ করে দেখেন
link kaj kore na,লিঙ্ক কাজ করে না 
abar install koren,আবার ইনস্টল করেন
Abar ki File Download korte hobe vai?,আবার কি ফাইল ডাউনলোড করতে হবে ভাই?
Abar Niben onno mail a,আবার নিবেন অন্য মেইল এ
Abar o Aki Post,আবারও একই পোস্ট
Abar try koren brother,আবার ট্রাই করেন ভাই 
apni ki facebook copyright report paren?,আপনি কি ফেসবুক কপিরাইট রিপোর্ট পারেন? 
akta limite thake,একটা লিমিট থাকে
er cheye valo kichu nai,এর চেয়ে ভালো কিছু নাই 
Abar download kore ante hobe?,আবার ডাউনলোড করে আনতে হবে? 
abul er moto kotha bolben na,আবুল এর মতো কথা বলবেন না
Abul miya dam ullekh kren ni ken ?,আবুল মিয়া দাম উল্লেখ করেন নি কেন ? 
abul post disable hoye jay,আবুল পোস্ট ডিসেবেল হয়ে যায় 
AC Market,এসি মার্কেট
Ac market download koren,এসি মার্কেট ডাউনলোড করেন 
ac market er theke valo,এসি মার্কেট এর থেকে ভালো 
number ki fix kore bujhlam na?,নম্বর কি ফিক্স করে বুঝলাম না?
Du diye internal audio record hoi na,দু দিয়ে ইন্টারনাল অডিও রেকর্ড হই না
oi sim a kono account khula nai,ওই সিম এ কোনো অ্যাকাউন্ট খুলা নাই 
verifications soho app ti ki deoa jabe,ভেরিফিকেশন সহ অ্যাপ টি দেওয়া যাবে.
ami ki pabo?,আমি কি পাবো?
Acca,আচ্ছা 
"accha,dhonnobad vaiya","আচ্ছা,ধন্যবাদ ভাইয়া"
acces off keno.?,অ্যাক্সেস অফ কেন।? 
accessibility service on hoy na,অ্যাক্সেসিবিলিটি সার্ভিস অন হয় না 
accha ami title pore netflix premium ar jonno asechilam jodi ami se sokol service (ja netflix premium a thake) ta ai site a na pai,আচ্ছা আমি টাইটেল পরে নেটফ্লিক্স প্রিমিয়াম এর জন্য এসেছিলাম যদি আমি সে সকল সার্ভিস (যা নেটফ্লিক্স প্রিমিয়াম এ থাকে) তা এই সাইট এ না পাই
